"","model","beta0","beta1","beta2","beta3","lam1","lam2","eta","tausq","sigmasq"
"1","S",12.9374817030604,0.0743367894887238,-0.123111344126004,-0.0634168961197691,0.350681332040554,0.116676855322535,0.55392069560069,0.100662224641431,0.407165956718175
"2","NS1",10.3471189659912,0.0574549264437085,-0.103706391300175,-0.0440089841388764,NA,NA,NA,0.125826959716145,0.491447597333126
