"","model","beta0","beta1","beta2","lam1","lam2","eta","tausq","sigmasq"
"1","S",13.2674493580869,0.0777164469390269,-0.123301018584673,0.33640653565393,0.111232338493094,0.559979953093968,0.0994324513279043,0.401692461930841
"2","NS1",10.9868556329866,0.0621005630996869,-0.108049339180625,NA,NA,NA,0.127213012443302,0.47402672310999
